,Unnamed: 0,graph,cnmr,image,smiles,fingerprint
164,164,000002368.pickle,000002368.csv,000002368.png,000002368.txt,000002368.pkl
165,165,000002369.pickle,000002369.csv,000002369.png,000002369.txt,000002369.pkl
166,166,000002370.pickle,000002370.csv,000002370.png,000002370.txt,000002370.pkl
167,167,000002371.pickle,000002371.csv,000002371.png,000002371.txt,000002371.pkl
168,168,000002372.pickle,000002372.csv,000002372.png,000002372.txt,000002372.pkl
169,169,000002373.pickle,000002373.csv,000002373.png,000002373.txt,000002373.pkl
170,170,000002374.pickle,000002374.csv,000002374.png,000002374.txt,000002374.pkl
171,171,000002375.pickle,000002375.csv,000002375.png,000002375.txt,000002375.pkl
172,172,000002376.pickle,000002376.csv,000002376.png,000002376.txt,000002376.pkl
173,173,000002377.pickle,000002377.csv,000002377.png,000002377.txt,000002377.pkl
174,174,000002378.pickle,000002378.csv,000002378.png,000002378.txt,000002378.pkl
175,175,000002379.pickle,000002379.csv,000002379.png,000002379.txt,000002379.pkl
176,176,000002380.pickle,000002380.csv,000002380.png,000002380.txt,000002380.pkl
177,177,000002381.pickle,000002381.csv,000002381.png,000002381.txt,000002381.pkl
178,178,000002382.pickle,000002382.csv,000002382.png,000002382.txt,000002382.pkl
179,179,000002383.pickle,000002383.csv,000002383.png,000002383.txt,000002383.pkl
180,180,000002384.pickle,000002384.csv,000002384.png,000002384.txt,000002384.pkl
181,181,000002385.pickle,000002385.csv,000002385.png,000002385.txt,000002385.pkl
182,182,000002386.pickle,000002386.csv,000002386.png,000002386.txt,000002386.pkl
183,183,000002388.pickle,000002388.csv,000002388.png,000002388.txt,000002388.pkl
184,184,000002389.pickle,000002389.csv,000002389.png,000002389.txt,000002389.pkl
185,185,000002390.pickle,000002390.csv,000002390.png,000002390.txt,000002390.pkl
186,186,000002391.pickle,000002391.csv,000002391.png,000002391.txt,000002391.pkl
187,187,000002392.pickle,000002392.csv,000002392.png,000002392.txt,000002392.pkl
188,188,000002393.pickle,000002393.csv,000002393.png,000002393.txt,000002393.pkl
189,189,000002394.pickle,000002394.csv,000002394.png,000002394.txt,000002394.pkl
190,190,000002395.pickle,000002395.csv,000002395.png,000002395.txt,000002395.pkl
191,191,000002396.pickle,000002396.csv,000002396.png,000002396.txt,000002396.pkl
192,192,000002397.pickle,000002397.csv,000002397.png,000002397.txt,000002397.pkl
193,193,000002398.pickle,000002398.csv,000002398.png,000002398.txt,000002398.pkl
194,194,000002399.pickle,000002399.csv,000002399.png,000002399.txt,000002399.pkl
195,195,000002400.pickle,000002400.csv,000002400.png,000002400.txt,000002400.pkl
196,196,000002401.pickle,000002401.csv,000002401.png,000002401.txt,000002401.pkl
197,197,000002402.pickle,000002402.csv,000002402.png,000002402.txt,000002402.pkl
198,198,000002403.pickle,000002403.csv,000002403.png,000002403.txt,000002403.pkl
199,199,000002404.pickle,000002404.csv,000002404.png,000002404.txt,000002404.pkl
200,200,000002405.pickle,000002405.csv,000002405.png,000002405.txt,000002405.pkl
201,201,000002406.pickle,000002406.csv,000002406.png,000002406.txt,000002406.pkl
202,202,000002407.pickle,000002407.csv,000002407.png,000002407.txt,000002407.pkl
203,203,000002408.pickle,000002408.csv,000002408.png,000002408.txt,000002408.pkl
204,204,000002409.pickle,000002409.csv,000002409.png,000002409.txt,000002409.pkl
205,205,000002410.pickle,000002410.csv,000002410.png,000002410.txt,000002410.pkl
206,206,000002411.pickle,000002411.csv,000002411.png,000002411.txt,000002411.pkl
207,207,000002412.pickle,000002412.csv,000002412.png,000002412.txt,000002412.pkl
208,208,000002413.pickle,000002413.csv,000002413.png,000002413.txt,000002413.pkl
209,209,000002414.pickle,000002414.csv,000002414.png,000002414.txt,000002414.pkl
210,210,000002415.pickle,000002415.csv,000002415.png,000002415.txt,000002415.pkl
211,211,000002416.pickle,000002416.csv,000002416.png,000002416.txt,000002416.pkl
212,212,000002417.pickle,000002417.csv,000002417.png,000002417.txt,000002417.pkl
213,213,000002418.pickle,000002418.csv,000002418.png,000002418.txt,000002418.pkl
214,214,000002419.pickle,000002419.csv,000002419.png,000002419.txt,000002419.pkl
215,215,000002420.pickle,000002420.csv,000002420.png,000002420.txt,000002420.pkl
216,216,000002421.pickle,000002421.csv,000002421.png,000002421.txt,000002421.pkl
217,217,000002422.pickle,000002422.csv,000002422.png,000002422.txt,000002422.pkl
218,218,000002423.pickle,000002423.csv,000002423.png,000002423.txt,000002423.pkl
219,219,000002425.pickle,000002425.csv,000002425.png,000002425.txt,000002425.pkl
220,220,000002426.pickle,000002426.csv,000002426.png,000002426.txt,000002426.pkl
221,221,000002427.pickle,000002427.csv,000002427.png,000002427.txt,000002427.pkl
222,222,000002428.pickle,000002428.csv,000002428.png,000002428.txt,000002428.pkl
223,223,000002429.pickle,000002429.csv,000002429.png,000002429.txt,000002429.pkl
224,224,000002430.pickle,000002430.csv,000002430.png,000002430.txt,000002430.pkl
225,225,000002431.pickle,000002431.csv,000002431.png,000002431.txt,000002431.pkl
226,226,000002432.pickle,000002432.csv,000002432.png,000002432.txt,000002432.pkl
227,227,000002433.pickle,000002433.csv,000002433.png,000002433.txt,000002433.pkl
228,228,000002434.pickle,000002434.csv,000002434.png,000002434.txt,000002434.pkl
229,229,000002435.pickle,000002435.csv,000002435.png,000002435.txt,000002435.pkl
230,230,000002436.pickle,000002436.csv,000002436.png,000002436.txt,000002436.pkl
231,231,000002437.pickle,000002437.csv,000002437.png,000002437.txt,000002437.pkl
232,232,000002438.pickle,000002438.csv,000002438.png,000002438.txt,000002438.pkl
233,233,000002439.pickle,000002439.csv,000002439.png,000002439.txt,000002439.pkl
234,234,000002440.pickle,000002440.csv,000002440.png,000002440.txt,000002440.pkl
235,235,000002441.pickle,000002441.csv,000002441.png,000002441.txt,000002441.pkl
236,236,000002442.pickle,000002442.csv,000002442.png,000002442.txt,000002442.pkl
237,237,000002443.pickle,000002443.csv,000002443.png,000002443.txt,000002443.pkl
238,238,000002444.pickle,000002444.csv,000002444.png,000002444.txt,000002444.pkl
239,239,000002445.pickle,000002445.csv,000002445.png,000002445.txt,000002445.pkl
240,240,000002446.pickle,000002446.csv,000002446.png,000002446.txt,000002446.pkl
241,241,000002447.pickle,000002447.csv,000002447.png,000002447.txt,000002447.pkl
242,242,000002448.pickle,000002448.csv,000002448.png,000002448.txt,000002448.pkl
243,243,000002449.pickle,000002449.csv,000002449.png,000002449.txt,000002449.pkl
244,244,000002450.pickle,000002450.csv,000002450.png,000002450.txt,000002450.pkl
245,245,000002451.pickle,000002451.csv,000002451.png,000002451.txt,000002451.pkl
246,246,000002452.pickle,000002452.csv,000002452.png,000002452.txt,000002452.pkl
247,247,000002453.pickle,000002453.csv,000002453.png,000002453.txt,000002453.pkl
248,248,000002455.pickle,000002455.csv,000002455.png,000002455.txt,000002455.pkl
249,249,000002456.pickle,000002456.csv,000002456.png,000002456.txt,000002456.pkl
250,250,000002457.pickle,000002457.csv,000002457.png,000002457.txt,000002457.pkl
251,251,000002458.pickle,000002458.csv,000002458.png,000002458.txt,000002458.pkl
252,252,000002459.pickle,000002459.csv,000002459.png,000002459.txt,000002459.pkl
253,253,000002460.pickle,000002460.csv,000002460.png,000002460.txt,000002460.pkl
254,254,000002462.pickle,000002462.csv,000002462.png,000002462.txt,000002462.pkl
255,255,000002463.pickle,000002463.csv,000002463.png,000002463.txt,000002463.pkl
256,256,000002464.pickle,000002464.csv,000002464.png,000002464.txt,000002464.pkl
257,257,000002465.pickle,000002465.csv,000002465.png,000002465.txt,000002465.pkl
258,258,000002466.pickle,000002466.csv,000002466.png,000002466.txt,000002466.pkl
259,259,000002467.pickle,000002467.csv,000002467.png,000002467.txt,000002467.pkl
260,260,000002468.pickle,000002468.csv,000002468.png,000002468.txt,000002468.pkl
261,261,000002469.pickle,000002469.csv,000002469.png,000002469.txt,000002469.pkl
262,262,000002470.pickle,000002470.csv,000002470.png,000002470.txt,000002470.pkl
263,263,000002471.pickle,000002471.csv,000002471.png,000002471.txt,000002471.pkl
264,264,000002472.pickle,000002472.csv,000002472.png,000002472.txt,000002472.pkl
265,265,000002474.pickle,000002474.csv,000002474.png,000002474.txt,000002474.pkl
266,266,000002475.pickle,000002475.csv,000002475.png,000002475.txt,000002475.pkl
267,267,000002476.pickle,000002476.csv,000002476.png,000002476.txt,000002476.pkl
268,268,000002477.pickle,000002477.csv,000002477.png,000002477.txt,000002477.pkl
269,269,000002479.pickle,000002479.csv,000002479.png,000002479.txt,000002479.pkl
270,270,000002480.pickle,000002480.csv,000002480.png,000002480.txt,000002480.pkl
271,271,000002481.pickle,000002481.csv,000002481.png,000002481.txt,000002481.pkl
272,272,000002482.pickle,000002482.csv,000002482.png,000002482.txt,000002482.pkl
273,273,000002483.pickle,000002483.csv,000002483.png,000002483.txt,000002483.pkl
274,274,000002485.pickle,000002485.csv,000002485.png,000002485.txt,000002485.pkl
275,275,000002486.pickle,000002486.csv,000002486.png,000002486.txt,000002486.pkl
276,276,000002491.pickle,000002491.csv,000002491.png,000002491.txt,000002491.pkl
277,277,000002492.pickle,000002492.csv,000002492.png,000002492.txt,000002492.pkl
278,278,000002493.pickle,000002493.csv,000002493.png,000002493.txt,000002493.pkl
279,279,000002494.pickle,000002494.csv,000002494.png,000002494.txt,000002494.pkl
280,280,000002495.pickle,000002495.csv,000002495.png,000002495.txt,000002495.pkl
281,281,000002496.pickle,000002496.csv,000002496.png,000002496.txt,000002496.pkl
282,282,000002497.pickle,000002497.csv,000002497.png,000002497.txt,000002497.pkl
283,283,000002498.pickle,000002498.csv,000002498.png,000002498.txt,000002498.pkl
284,284,000002499.pickle,000002499.csv,000002499.png,000002499.txt,000002499.pkl
285,285,000002500.pickle,000002500.csv,000002500.png,000002500.txt,000002500.pkl
286,286,000002501.pickle,000002501.csv,000002501.png,000002501.txt,000002501.pkl
287,287,000002502.pickle,000002502.csv,000002502.png,000002502.txt,000002502.pkl
288,288,000002503.pickle,000002503.csv,000002503.png,000002503.txt,000002503.pkl
289,289,000002504.pickle,000002504.csv,000002504.png,000002504.txt,000002504.pkl
290,290,000002505.pickle,000002505.csv,000002505.png,000002505.txt,000002505.pkl
291,291,000002506.pickle,000002506.csv,000002506.png,000002506.txt,000002506.pkl
292,292,000002507.pickle,000002507.csv,000002507.png,000002507.txt,000002507.pkl
293,293,000002508.pickle,000002508.csv,000002508.png,000002508.txt,000002508.pkl
294,294,000002509.pickle,000002509.csv,000002509.png,000002509.txt,000002509.pkl
295,295,000002510.pickle,000002510.csv,000002510.png,000002510.txt,000002510.pkl
296,296,000002511.pickle,000002511.csv,000002511.png,000002511.txt,000002511.pkl
297,297,000002512.pickle,000002512.csv,000002512.png,000002512.txt,000002512.pkl
298,298,000002513.pickle,000002513.csv,000002513.png,000002513.txt,000002513.pkl
299,299,000002514.pickle,000002514.csv,000002514.png,000002514.txt,000002514.pkl
300,300,000002515.pickle,000002515.csv,000002515.png,000002515.txt,000002515.pkl
301,301,000002516.pickle,000002516.csv,000002516.png,000002516.txt,000002516.pkl
302,302,000002517.pickle,000002517.csv,000002517.png,000002517.txt,000002517.pkl
303,303,000002518.pickle,000002518.csv,000002518.png,000002518.txt,000002518.pkl
304,304,000002519.pickle,000002519.csv,000002519.png,000002519.txt,000002519.pkl
305,305,000002520.pickle,000002520.csv,000002520.png,000002520.txt,000002520.pkl
306,306,000002521.pickle,000002521.csv,000002521.png,000002521.txt,000002521.pkl
307,307,000002523.pickle,000002523.csv,000002523.png,000002523.txt,000002523.pkl
308,308,000002524.pickle,000002524.csv,000002524.png,000002524.txt,000002524.pkl
309,309,000002525.pickle,000002525.csv,000002525.png,000002525.txt,000002525.pkl
310,310,000002526.pickle,000002526.csv,000002526.png,000002526.txt,000002526.pkl
311,311,000002527.pickle,000002527.csv,000002527.png,000002527.txt,000002527.pkl
312,312,000002528.pickle,000002528.csv,000002528.png,000002528.txt,000002528.pkl
313,313,000002529.pickle,000002529.csv,000002529.png,000002529.txt,000002529.pkl
314,314,000002530.pickle,000002530.csv,000002530.png,000002530.txt,000002530.pkl
315,315,000002531.pickle,000002531.csv,000002531.png,000002531.txt,000002531.pkl
316,316,000002532.pickle,000002532.csv,000002532.png,000002532.txt,000002532.pkl
317,317,000002533.pickle,000002533.csv,000002533.png,000002533.txt,000002533.pkl
318,318,000002534.pickle,000002534.csv,000002534.png,000002534.txt,000002534.pkl
319,319,000002535.pickle,000002535.csv,000002535.png,000002535.txt,000002535.pkl
320,320,000002536.pickle,000002536.csv,000002536.png,000002536.txt,000002536.pkl
321,321,000002537.pickle,000002537.csv,000002537.png,000002537.txt,000002537.pkl
322,322,000002538.pickle,000002538.csv,000002538.png,000002538.txt,000002538.pkl
323,323,000002539.pickle,000002539.csv,000002539.png,000002539.txt,000002539.pkl
324,324,000002541.pickle,000002541.csv,000002541.png,000002541.txt,000002541.pkl
325,325,000002542.pickle,000002542.csv,000002542.png,000002542.txt,000002542.pkl
326,326,000002543.pickle,000002543.csv,000002543.png,000002543.txt,000002543.pkl
327,327,000002544.pickle,000002544.csv,000002544.png,000002544.txt,000002544.pkl
328,328,000002545.pickle,000002545.csv,000002545.png,000002545.txt,000002545.pkl
329,329,000002546.pickle,000002546.csv,000002546.png,000002546.txt,000002546.pkl
330,330,000002547.pickle,000002547.csv,000002547.png,000002547.txt,000002547.pkl
331,331,000002548.pickle,000002548.csv,000002548.png,000002548.txt,000002548.pkl
332,332,000002549.pickle,000002549.csv,000002549.png,000002549.txt,000002549.pkl
333,333,000002550.pickle,000002550.csv,000002550.png,000002550.txt,000002550.pkl
334,334,000002551.pickle,000002551.csv,000002551.png,000002551.txt,000002551.pkl
335,335,000002552.pickle,000002552.csv,000002552.png,000002552.txt,000002552.pkl
336,336,000002553.pickle,000002553.csv,000002553.png,000002553.txt,000002553.pkl
337,337,000002554.pickle,000002554.csv,000002554.png,000002554.txt,000002554.pkl
338,338,000002555.pickle,000002555.csv,000002555.png,000002555.txt,000002555.pkl
339,339,000002556.pickle,000002556.csv,000002556.png,000002556.txt,000002556.pkl
340,340,000002558.pickle,000002558.csv,000002558.png,000002558.txt,000002558.pkl
341,341,000002559.pickle,000002559.csv,000002559.png,000002559.txt,000002559.pkl
342,342,000002561.pickle,000002561.csv,000002561.png,000002561.txt,000002561.pkl
343,343,000002562.pickle,000002562.csv,000002562.png,000002562.txt,000002562.pkl
344,344,000002563.pickle,000002563.csv,000002563.png,000002563.txt,000002563.pkl
345,345,000002564.pickle,000002564.csv,000002564.png,000002564.txt,000002564.pkl
346,346,000002565.pickle,000002565.csv,000002565.png,000002565.txt,000002565.pkl
347,347,000002566.pickle,000002566.csv,000002566.png,000002566.txt,000002566.pkl
